"","log2FoldChange","pvalue","padj","BInt_390","BInt_391","BInt_392","BInt_398","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000017760",-0.355955287971692,0.00680367043845424,0.0713043347227049,2321.18866864777,3064.52910221266,2309.4827877466,2691.01714007751,1975.64904056641,2044.51915480524,2010.93885521777,2080.55386600425,"Ctsa"
"ENSMUSG00000017764",-0.0319527527210228,0.817943349120463,0.903665995075368,525.472195184524,459.748604579577,445.492754570933,451.125680402857,416.863729028441,436.285047556261,485.036155849387,503.213125434734,"Zswim1"
"ENSMUSG00000017765",-0.101848869162158,0.473431027767562,0.673200625749772,484.154824998645,405.741991391012,486.933941042648,457.420457338711,453.383842041616,421.439809643193,374.06141407714,462.794400500217,"Slc12a4"
"ENSMUSG00000017774",0.214278237727817,0.274390434220451,0.491489019434366,342.192578718954,234.028657150447,213.249438719032,358.802285343668,354.512316566922,339.791001121322,318.574043191017,319.307926982683,"Myo1c"
"ENSMUSG00000017776",0.414203983908808,0.0061233261375354,0.0673834610445275,1915.43090502746,1426.32850215953,2102.27685538803,1548.51512622004,2165.37548134218,2334.00129411005,2355.34322623509,2469.58409349898,"Crk"
"ENSMUSG00000017778",-0.649125562338298,0.00668589488913658,0.0707358813105035,2097.65110174467,5371.58083483186,2862.89529875429,3605.85805475493,2104.80553780813,2075.8591015106,2042.50925589436,2662.58350506129,"Cox7c"
"ENSMUSG00000017781",0.185010372111372,0.120802435561474,0.306759888451243,5931.69117104466,4717.96233675487,5829.39356368787,5172.20838229322,5894.88068100475,6117.88749106303,6265.28951609001,6340.68747410232,"Pitpna"
"ENSMUSG00000017801",0.031407507870801,0.848578491360413,0.920420818215176,400.460664878529,369.737582598635,556.002585162172,430.143090616678,474.76146917128,425.563486841268,478.339404190717,420.354739318975,"Mlx"
"ENSMUSG00000017802",-0.0499401738576951,0.655183612769213,0.806668682736656,1411.14710481005,1408.32629776334,1345.97520227923,1240.0710563632,1259.49853172268,1308.03040722917,1375.7041264525,1277.23170793073,"Retreg3"
"ENSMUSG00000017817",-0.0529923871605869,0.86210418904645,0.927085799631228,48.7333084243712,72.008817584753,40.5778284202206,46.1616975295947,52.5533333604231,34.6388884638241,44.9639039939274,66.6908961419527,"Jph2"
"ENSMUSG00000017830",-0.481431308530052,0.17802467454715,0.383372842855716,34.9608516957446,33.2348388852706,51.8014830896434,45.1125680402857,40.9737853318553,21.4431214299864,38.2671523352573,18.1884262205326,"Dhx58"
"ENSMUSG00000017831",0.776377098740605,0.00461427694802713,0.0602590075582783,1125.10377275396,376.6615073664,1167.26008561996,736.488901494897,1414.48632841274,1341.84456025338,1347.00376220106,1735.9842359375,"Rab5a"
"ENSMUSG00000017837",0.0784985572123544,0.727616003578163,0.852886075517826,221.418727406382,113.552366191341,170.081536144329,218.218933776266,173.693220428517,167.421294241817,214.296053077441,211.18783778285,"Nkiras2"
"ENSMUSG00000017843",0.148841540153665,0.239627322679153,0.456621297108293,3001.33614709225,2511.99990574504,3188.38128416755,2588.20245012523,2935.86079247381,3086.16001503881,3154.17003123359,3345.65995645463,"Ppp2r5c"
"ENSMUSG00000017858",0.00624447779529123,0.964049289925977,0.980992726054823,510.640318707542,562.222691142494,574.133104243547,549.7438523979,562.944181081142,593.809516522699,462.075864448232,587.081979673857,"Ift52"
"ENSMUSG00000017861",-0.00558067290509653,0.990430509006149,0.9946238868335,30.723172702321,23.5413442104,22.4473093388455,25.1791077434153,32.9571751582314,37.9378302222836,23.9169702095358,6.06280874017752,"Mybl2"
"ENSMUSG00000017868",0.135917090973651,0.727748151518985,0.852973519559679,32.8420121990328,18.0022043961882,54.3915572441255,27.2773667220332,50.7718644329511,36.2883593430538,22.9602914011544,37.387320564428,"Sgk2"
"ENSMUSG00000017897",-0.124864437337891,0.653239918419062,0.805384466739788,61.446345404642,78.9327423525177,72.5220763255007,87.0777476126445,85.5105085186545,43.7109782995876,58.3574073112674,87.910726732574,"Eya2"
"ENSMUSG00000017929",0.242483030739825,0.178567912448768,0.383954918449194,1061.53858785261,653.618498076989,651.835328878012,788.945375960345,835.508926984354,991.331998417062,883.014540136063,1024.61467709,"B4galt5"
"ENSMUSG00000017943",-0.384287395386932,0.0120108146843693,0.0933217438424302,1517.08907964564,2167.18845231035,1486.70256467276,1629.29809689683,1223.86915317324,1242.87630749959,1335.52361650048,1404.55069147446,"Gdap1l1"
"ENSMUSG00000017969",-0.0161830158272247,0.944069973938952,0.970727368633654,100.64487609381,94.1653768416,78.5655826859591,78.6847116981727,92.6363842285424,73.4014541257225,72.7075894369889,109.130557323195,"Ptgis"
