"","BCH_309","BCH_313","BCH_314","BCH_317","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000038633",975.373922085775,986.424954111851,1215.86764982898,1072.96676090222,936.16941640183,1001.25368938587,986.110770703975,1255.10220398141,"Degs1"
"ENSMUSG00000038637",74.9414189262645,76.2500698383916,63.3161347347883,78.3751440576722,84.938448036458,88.246087878077,93.5869362805971,55.1121928840222,"Lrrc56"
"ENSMUSG00000038642",868.639173918065,721.9626865711,987.335976020605,803.621195408244,898.316412385583,847.67155567499,780.219510886662,1225.98632849551,"Ctss"
"ENSMUSG00000038644",188.489023359999,205.585631336423,193.905662625289,241.748683783524,174.493116074897,212.978539013436,184.218495626017,157.017757084667,"Pold1"
"ENSMUSG00000038646",1367.11315738216,1447.78613617199,1414.71988548043,1263.93718233852,1453.18605662375,1490.84977309405,1542.70676016226,1783.34737351128,"Ramac"
"ENSMUSG00000038648",263.430442286263,295.348371779086,209.734696308986,220.775053683584,232.657488099863,240.97970151321,263.028547230731,245.405236238287,"Creb3l2"
"ENSMUSG00000038650",674.47277033638,624.478420068853,744.953897738993,787.063066381976,718.283832308308,683.058660979346,695.498705411595,894.273318495454,"Rnh1"
"ENSMUSG00000038658",826.626560277584,786.630467320116,748.911156159918,529.860128840601,721.053564309496,739.060985978895,703.379710572066,619.752206771268,"Ric1"
"ENSMUSG00000038664",3541.54978228817,3813.46868267703,3321.12912976069,3351.3653149168,3440.93038947694,3452.62818822976,3359.2784496509,2681.78010279044,"Herc1"
"ENSMUSG00000038665",330.423528902166,390.902256766438,322.516561305328,288.111445057077,270.510492116111,444.624519693388,311.299703838618,247.484941630137,"Dgki"
"ENSMUSG00000038668",581.363734700718,637.025899915677,582.706302481098,529.860128840601,554.869644238166,558.326209843987,633.435789772883,728.936739843387,"Lpar1"
"ENSMUSG00000038670",36.3352334187949,22.1993874213039,23.7435505255456,28.7007569788659,24.0043440103033,33.0922829542789,17.7322616110605,8.31882156739957,"Mybpc2"
"ENSMUSG00000038671",711.943479799512,757.674744596676,727.146234844834,615.962399777198,806.915256346351,649.966378025067,773.32363137125,640.549260689767,"Arfrp1"
"ENSMUSG00000038676",14.7611885763854,14.4778613617199,3.95725842092427,14.3503784894329,11.0789280047554,5.09112045450444,20.6876385462372,1.03985269592495,"Ucn"
"ENSMUSG00000038677",210.063068202408,214.272348153455,182.033887362516,167.789040799524,208.65314408956,224.857820073946,205.891259817314,152.858346300967,"Scube3"
"ENSMUSG00000038679",389.468283207708,407.310499643054,353.185314067491,331.162580525375,388.685724166835,318.195028406528,396.020509313684,361.868738181881,"Trps1"
"ENSMUSG00000038683",738.059428819271,674.668339456148,703.402684319289,874.269212586991,731.209248313856,648.269337873566,655.10855396418,909.871108934328,"Pak1ip1"
"ENSMUSG00000038685",436.022801025539,359.050961770654,305.6982130164,384.148593409435,401.611140172383,459.049360981151,330.017091094737,202.771275705365,"Rtel1"
"ENSMUSG00000038690",1495.42195039228,1353.19744194209,1645.23018849926,1836.84844664742,1815.09770477909,1710.61647271349,1892.42636415818,1954.9230683389,"Atp5mf"
"ENSMUSG00000038695",1446.59648048577,1417.8652226911,1328.64951482532,1481.40061021685,1563.9753366713,1422.11964695824,1635.3085707978,1234.30515006291,"Josd2"
"ENSMUSG00000038696",739.194904863609,827.168479132931,783.537167343005,815.763823360841,806.915256346351,805.245551887453,703.379710572066,835.001714827732,"Mapkap1"
"ENSMUSG00000038697",322.475196591805,313.686996170598,326.473819726252,278.176567641315,334.214328143454,340.256550376047,313.269955128735,329.633304608208,"Taf5l"
"ENSMUSG00000038702",172.592358739276,228.750209515175,225.563729992683,172.204541873195,217.885584093523,230.797460604201,206.876385462372,273.481259028261,"Dsel"
"ENSMUSG00000038704",49.960945950843,72.3893068085996,68.2627077609436,60.7131397629855,82.1687160352691,65.336045832807,73.8844233794187,46.7933713166226,"Aspdh"
"ENSMUSG00000038705",357.674953966262,388.006684494094,355.163943277953,400.706722435704,392.37870016842,381.834034087833,441.336288986395,352.510063918557,"Gmeb2"
"ENSMUSG00000038708",2518.48586634022,2333.83125150925,1993.4689295406,2244.17842069363,2033.90653287301,2069.54046475606,1957.44465673207,1941.40498329187,"Golga4"
"ENSMUSG00000038712",384.926379030358,365.80729707279,376.928864593037,454.796610588182,340.677036146228,348.741751133554,372.37749383227,338.991978871533,"Mindy1"
"ENSMUSG00000038717",1452.27386070746,1308.79866709948,1622.47595257895,1632.6315219901,1709.84788873391,1563.82249960862,1783.07741755664,2045.39025288437,"Atp5mg"
"ENSMUSG00000038718",527.996360616863,677.563911728492,431.341167880745,347.720709551644,666.582168286116,408.138156436106,504.384330270165,542.803107272822,"Pbx3"
