"","BInt_390","BInt_391","BInt_392","BInt_398","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000096740",47.3561109985786,39.3808475927742,49.0398209326194,51.2375763223858,36.0681635458862,43.9373801909874,46.0446044187271,38.8175919636739,"Lbhd1"
"ENSMUSG00000096753",60.886428426744,94.0058942537191,58.5313991776425,64.7720304452801,63.5938673045889,62.7676859871248,37.1588035659903,43.8263135073738,"Fam181a"
"ENSMUSG00000096768",778.959703364375,2643.59818840526,264.182261153143,1327.34325076671,768.821380846522,454.01959530687,275.459826434841,361.880131532315,"Erdr1y"
"ENSMUSG00000096780",33.8257935704133,0,10.282543098775,11.6009606767666,18.9832439715191,28.2454586942062,44.429004263684,41.3219527355239,"Tmem181b-ps"
"ENSMUSG00000096842",245.478616196714,710.125606592284,336.160062844569,420.534824532789,599.870509500003,286.639099341203,269.80522589219,189.07923827467,"Gm10736"
"ENSMUSG00000096847",2383.26876984683,1053.12008562612,1517.86155434995,1816.51709263704,2057.78364651267,2576.61350977147,2550.22484473546,2978.93713811549,"Tmem151b"
"ENSMUSG00000096883",503.521098576724,672.015108921857,265.764190860647,486.273601701133,516.344236025319,358.821938226397,240.724423101415,161.53126978432,"Shisa8"
"ENSMUSG00000096910",248.377969931321,224.851936255517,346.442605943344,205.917052012607,264.816253402691,310.700045636268,365.933435117252,400.697723495989,"Zfp955b"
"ENSMUSG00000096914",266.740543583831,144.819891147621,238.871385833082,186.582117551329,154.71343836788,283.500715041847,264.958425427061,338.088704199741,"Galntl6"
"ENSMUSG00000096916",70.5509408754335,78.7616951855485,93.3338527427273,68.6390173375357,50.3055965245255,58.5831735879832,104.206210000277,87.6526270147476,"Zfp850"
"ENSMUSG00000096917",10.6309636935585,11.433149301128,9.49157824502312,13.5344541228944,15.1865951772153,10.4612809978541,16.1560015504305,20.0348861747994,"2500002B13Rik"
"ENSMUSG00000096929",700.67715252999,490.355070026157,556.048292187604,487.240348424197,498.310154252376,677.891008660948,778.719274730752,1068.109869194,"A330023F24Rik"
"ENSMUSG00000096935",19.329024897379,40.6511975151218,26.1018401738136,19.3349344612777,27.5257037587026,33.4760991931332,16.1560015504305,27.5479684903492,"1700113A16Rik"
"ENSMUSG00000096936",83.1148070587298,95.2762441760667,79.8874502289446,95.7079255833244,85.4245978718358,58.5831735879832,93.7048089924972,86.4004466288226,"Gm3510"
"ENSMUSG00000096938",33.8257935704133,39.3808475927742,15.0283322212866,22.2351746304693,20.881568368671,13.5996652972104,16.1560015504305,16.2783450170245,"9530052E02Rik"
"ENSMUSG00000096942",20.295476142248,47.0029471268596,30.0566644425732,45.4370959840025,19.932406170095,18.8303057961374,21.8106020930812,16.2783450170245,"Rps19-ps6"
"ENSMUSG00000096948",42.5238547742339,74.9506454185058,38.7572778338444,34.8028820302998,58.8480563117091,48.121892590129,37.1588035659903,33.8088704199741,"Gm4221"
"ENSMUSG00000096956",29.9599885909375,45.732597204512,28.4747347350693,44.4703492609386,31.3223525530065,33.4760991931332,31.5042030233396,18.7827057888745,"Snhg18"
"ENSMUSG00000096974",47.3561109985786,118.142542778323,62.4862234464022,69.6057640605996,110.102815034811,58.5831735879832,44.429004263684,46.3306742792237,"Gm26881"
"ENSMUSG00000096977",16.4296711627722,53.3546967385974,19.7741213437982,18.3681877382138,27.5257037587026,26.1532024946353,8.8858008527368,28.8001488762742,"Gm10827"
"ENSMUSG00000096981",19.329024897379,47.0029471268596,16.6102619287905,19.3349344612777,15.1865951772153,12.553537197425,12.9248012403444,25.0436077184993,"Gm16845"
"ENSMUSG00000096988",14.4967686730343,15.2441990681707,18.1921916362943,29.9691484149804,11.3899463829114,16.7380495965666,11.3092010853014,18.7827057888745,"A930029G22Rik"
"ENSMUSG00000096991",54.1212697126613,87.6541446419814,30.0566644425732,58.9715501068968,53.1530831202534,25.1070743948499,31.5042030233396,32.5566900340491,"Gm26789"
"ENSMUSG00000096995",202.95476142248,218.50018664378,224.634018465547,213.651025797118,224.951441062501,202.94885135837,193.064218527645,122.713677820647,"2810029C07Rik"
"ENSMUSG00000097000",16.4296711627722,12.7034992234756,20.5650861975501,7.73397378451106,15.1865951772153,11.5074090976396,35.5432034109472,16.2783450170245,"Gm17435"
"ENSMUSG00000097004",25.1277323665927,5.08139968939022,9.49157824502312,4.83373361531941,14.2374329786393,23.0148181952791,25.0418024031673,11.2696234733247,"4731419I09Rik"
"ENSMUSG00000097006",115.007698139405,99.0872939431094,113.107974086525,93.7744321371966,149.967627375001,98.3360413798289,84.8190081397604,102.678791645847,"9530082P21Rik"
"ENSMUSG00000097023",864.007412912843,1059.47183523786,661.24661773661,928.076854141327,795.397922406649,697.767442556871,764.986673412886,445.776217389288,"Mir9-3hg"
