"","log2FoldChange","pvalue","padj","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000054342",0.107410161530822,0.812692689624329,0.976015484660968,18.3796354731403,19.2093367050088,10.4691671395621,10.734065400798,18.6615403742331,10.62725618236,12.3543731894338,21.9733080238962,"Kcnn4"
"ENSMUSG00000054364",-0.0718974360736768,0.437825830062111,0.923494209840387,6821.90803311392,7941.36578604716,6687.18051039527,7136.81173335558,6646.17430756616,6830.0558002783,6445.1814592877,7274.163742638,"Rhob"
"ENSMUSG00000054381",0.0222070521617572,0.934386413286971,0.992578149909688,103.13017682151,115.256020230053,45.3663909381023,85.8725232063842,89.7531227522639,81.7481244796924,89.3316215235983,92.8871657373793,"Zfp747"
"ENSMUSG00000054383",-0.303986996683292,0.107981236413973,0.922113547260711,114.362176277318,136.725278900357,115.160838535183,136.859333860175,79.0893853955593,118.534780495554,102.636331112219,105.871393206045,"Pnma1"
"ENSMUSG00000054385",0.109219993858403,0.810815326328407,0.975641986760445,7.14763601733235,16.9494147397136,12.2140283294891,17.4428562762968,11.55238213643,14.7146624063446,18.0563915845571,12.9842274686659,"Ceacam2"
"ENSMUSG00000054387",0.124093608177365,0.548525426498968,0.932520803601401,749.480690960278,976.286289007506,1111.47657798351,1172.69664503718,1219.22063778323,1251.56378578409,1222.13260935476,675.179828370628,"Mdm4"
"ENSMUSG00000054400",-0.115882943930176,0.62323632093372,0.945439235802926,52.0756338405643,50.8482442191409,54.0906968877373,71.1131832802869,54.2073315632485,47.4139121982216,59.8711931487946,47.941762961228,"Cklf"
"ENSMUSG00000054404",0.0853145933630472,0.719005145040294,0.961668527444017,91.8981773657017,79.0972687853303,77.646322951752,96.6065886071822,94.1963466508909,60.4936121149724,120.692722696776,90.8895922806615,"Slfn5"
"ENSMUSG00000054405",-0.0733712998322151,0.416519530178885,0.922113547260711,2079.96208104371,2037.31965171358,1991.75904830168,1870.41089608906,1803.94890284253,1810.72095722519,1905.42448037037,2067.48852770296,"Dnajc8"
"ENSMUSG00000054408",0.0424790192081788,0.714763807721883,0.961416503104488,1158.93812566746,1261.03645663469,1497.96333155234,1351.15048232545,1358.73786820011,1367.64612254525,1482.52478273206,1218.51980859788,"Spcs3"
"ENSMUSG00000054409",0.393666775721039,0.153292145996402,0.922113547260711,52.0756338405643,97.1766445076915,100.329518420803,139.542850210374,96.862280990067,157.773880245806,131.146423087836,122.850767588147,"Tmem74"
"ENSMUSG00000054412",0.15362533930165,0.629994335540588,0.946833154803152,39.8225435251374,21.4692586703039,31.4075014186862,24.1516471517955,32.8798568498393,37.6041372606585,34.2121103707398,25.9684549373319,"Gm4793"
