"","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000042842",27.5694532097105,25.9891026008942,17.4486118992701,13.4175817509975,21.3274747134093,12.2622186719539,7.60269119349773,25.9684549373319,"Serpinb6b"
"ENSMUSG00000042846",653.498150156101,705.095653172087,718.010379654965,778.219741557857,679.81325648992,556.704727706705,642.427405850558,813.012396884159,"Lrrtm3"
"ENSMUSG00000042851",461.533068547746,320.908919071912,349.844668580366,202.605484440063,415.88575691148,272.221254517376,343.071440106585,375.543809862953,"Zc3h6"
"ENSMUSG00000042854",117.425448856174,148.024888726832,99.4570878258396,120.758235758978,118.189755703476,112.812411781975,114.040367902466,123.849554316506,"Trp53rkb"
"ENSMUSG00000042857",76.5818144714181,59.8879320803215,52.3458356978103,36.2274707276933,61.3164898010516,60.4936121149724,39.9141287658631,43.9466160477924,"Gm9776"
"ENSMUSG00000042870",471.743977143935,543.511232653484,391.721337138614,419.970308806223,500.307010985392,438.987428455948,427.651379634247,471.427335785409,"Tom1"
"ENSMUSG00000042873",3764.76199941491,3053.15457511375,3084.91458379095,2727.7943699778,3088.04060954571,3148.93775495775,2910.88039071044,3286.00833630084,"Lhfpl4"
"ENSMUSG00000042874",7.14763601733235,15.8194537570661,18.3210424942336,5.36703270039901,13.3296716958808,22.0719936095169,7.60269119349773,11.985440740307,"D930007J09Rik"
"ENSMUSG00000042901",807.682869958556,806.792141610369,909.945110546936,959.357095196323,924.190570914401,833.013388448065,926.577989207536,922.87893700364,"Aida"
"ENSMUSG00000042903",499.313430353646,437.294900284612,399.573212493285,381.05932172833,437.21323162489,436.534984721557,393.439269263507,448.455241033154,"Foxo4"
"ENSMUSG00000042918",41.8647252443752,61.0178930629691,47.9836827229928,33.5439543774938,34.65714640929,31.88176854708,36.1127831691142,26.9672416656908,"Mamstr"
"ENSMUSG00000042942",103.13017682151,117.515942195348,180.593133157446,131.492301159776,151.069612553316,161.043805224994,116.891377100028,131.839848143377,"Greb1l"
"ENSMUSG00000042961",79.6450870502748,76.8373468200352,70.6668781920439,76.4802159806859,59.5392002416008,59.6761308701754,87.4309487252239,74.9090046269188,"Egflam"
"ENSMUSG00000042978",1926.79845210088,1447.48001877154,1420.31700860059,1846.25924893726,1447.60234617265,1531.14237150464,1465.41872754669,1483.19829161299,"Sbk1"
