"","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000067870",25.9399888431668,25.73257617276,21.0614951131285,26.5898264143562,28.1720799158572,47.5948302931405,27.0911808184773,38.0077416212019,"Rpl31-ps8"
"ENSMUSG00000067872",54.9927763475137,20.4085948956373,45.7858589415838,48.0662246721054,36.2212456061021,15.8649434310468,44.3310231575084,34.006926713707,"Ccdc87"
"ENSMUSG00000067873",1671.57288105367,1646.88487505664,1615.32510345908,1753.90585771618,1997.19923689202,2243.56741687388,2163.18974111175,1650.33614934166,"Htatsf1"
"ENSMUSG00000067879",3538.21447820796,3231.65663521352,4473.27841859274,3996.655447204,4179.52928465967,4891.69089123944,5133.36829266481,3945.80370251688,"Vxn"
"ENSMUSG00000067889",15213.2846567405,14049.0992601141,15870.2944263318,19666.2446903103,16057.0794063273,9821.72206243725,9036.96116514541,12406.5270281418,"Sptbn2"
"ENSMUSG00000067916",9.33839598354006,22.1832553213448,27.4715153649503,6.13611378792834,12.0737485353674,23.7974151465703,15.5979525924567,20.0040745374747,"Zfp991"
"ENSMUSG00000067924",920.35080415556,915.724779665115,1130.91071585712,1334.60474887441,1163.10444224039,2297.77264026329,1409.56234743411,1505.30660894497,"Rtl8b"
"ENSMUSG00000067925",687.928504120785,742.695388158626,863.52129963827,1071.77454162482,860.254583144924,1893.21658277159,1015.50880825626,1211.24671324409,"Rtl8a"
"ENSMUSG00000067928",120.361548232294,214.733911510618,126.368970678771,85.9055930309968,139.854253868005,161.293591548976,181.428816996469,75.01527951553,"Zfp760"
"ENSMUSG00000067931",141.113539306828,194.325316614981,137.357576824751,110.45004818271,134.823525311602,136.174097783152,186.354486236193,141.028725489196,"Zfp948"
"ENSMUSG00000067942",279.114279952475,275.072365984676,231.676446244414,200.446383738993,219.339765059174,315.976790001683,284.867871030656,236.048079542201,"Zfp160"
"ENSMUSG00000067995",173.279125472355,170.367400867928,213.36210266778,204.537126264278,201.229142256123,362.24954167557,336.587398047749,260.052968987171,"Gtf2f2"
"ENSMUSG00000068011",36.3159843804336,29.2818970241752,21.0614951131285,31.7032545709631,25.1536427820153,18.5091006695547,20.5236218321798,12.0024447224848,"Mkrn2os"
