"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000090778",1.4356820301862,7.04524074355691e-05,0.00580683799812157,63.2935727773271,57.6764638354966,70.510222770039,66.4745660358904,94.5776968603776,345.062519625269,90.3039360615911,171.034837295408,"Gm3235"
"ENSMUSG00000090779",0.913278313506263,0.0511526121189609,0.164505105440002,13.4887941984468,23.9579157470524,14.6514748613068,21.4763982577492,17.1044770917704,70.0701668204569,20.5236218321798,33.0067229868332,"Gm17110"
"ENSMUSG00000090785",0.0545617087800627,0.898629081762194,0.950556791065376,35.2783848267069,16.8592740442221,10.0728889671484,25.5671407830348,23.1413513594541,23.7974151465703,24.6283461986158,19.0038708106009,"Gm17116"
"ENSMUSG00000090799",0.141026054700474,0.607793294726824,0.76158091658236,216.858306728875,270.635714920407,146.514748613068,229.081581415992,202.235287967403,393.979428537663,183.891651616331,175.035652202903,"Klhl33"
"ENSMUSG00000090812",-0.185792219618202,0.561282112993081,0.725421728577389,24.9023892894402,47.9158314941049,46.7015761204155,39.8847396215342,36.2212456061021,37.0182013391093,27.9121256917645,40.0081490749494,"Samd15"
"ENSMUSG00000090841",0.917507988333621,7.40958237010283e-05,0.00588631008750495,3604.62084964647,3073.71185732554,3779.16479703833,3666.32798828719,4362.64780411274,10696.9381083833,5584.88797297277,6037.22969540986,"Myl6"
"ENSMUSG00000090862",0.705605312180894,0.00449658271677765,0.0409736298215855,1408.0225944071,1298.1641014051,1684.00389187145,1856.17442084832,1649.07282078892,4131.49568516845,1928.39950735161,2481.50544637373,"Rps13"
"ENSMUSG00000090873",-1.22263337250276,0.00112568392708301,0.0217742712056373,89.233561620494,98.4936536267711,61.3530509817223,55.2250240913551,56.3441598317143,15.8649434310468,19.7026769588926,38.0077416212019,"Gm17112"
"ENSMUSG00000090877",-0.638618953172063,0.0464844196555658,0.154646257833476,99.6095571577607,351.382764290102,179.480567051008,172.833871693315,180.10008231923,107.088368159566,109.185668147197,120.024447224848,"Hspa1b"
"ENSMUSG00000090935",0.209501685912926,0.156860517607849,0.328049178491742,494.934987127623,504.890891113809,508.22303425158,492.93447429691,500.054418506465,690.125039250538,531.151333016813,596.121421216745,"Synj2bp"
"ENSMUSG00000090936",-0.673412919094952,0.143139770193577,0.309981903753809,17.6391924133535,20.4085948956373,12.8200405036435,19.4310269951064,9.05531140152552,9.25455033477733,11.4932282260207,14.0028521762323,"Gm17705"
"ENSMUSG00000090946",-0.310102050741123,0.0639944005560452,0.188517482148543,327.881458977629,295.480960880313,329.658184379403,233.172323941277,244.493407841189,244.584544561972,237.253068379999,231.047060907833,"Ccdc71l"
"ENSMUSG00000090952",0.17099145889937,0.58103995638328,0.740197266432695,50.842378132607,43.4791804298359,29.3029497226136,30.6805689396417,40.2458284512245,54.2052233894101,35.3006295513493,45.009167709318,"Rab11bos1"
"ENSMUSG00000090958",-0.47019839579329,0.0942470191886017,0.239117511548027,71.5943692071405,75.4230680925725,59.5216166240589,66.4745660358904,71.4363455009235,33.0519654813476,42.689133410934,49.009982616813,"Lrrc32"
"ENSMUSG00000091002",-0.0664966402143709,0.745992613963126,0.856344770918085,192.993516993161,220.057892787741,189.553456018157,177.947299849922,173.057062340265,129.563704686883,210.161887561521,230.046857180959,"Tcerg1l"
"ENSMUSG00000091021",0.0111306583370032,0.977341826101385,0.990564822561812,33.2031857192536,35.4932085141518,26.5557981861186,30.6805689396417,50.3072855640307,11.8987075732851,35.3006295513493,28.0057043524645,"Gm17300"
