"","BCH_309","BCH_313","BCH_314","BCH_317","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000042632",350.093564050774,349.089492182388,353.929430487202,439.620539978484,426.18516764294,433.748481419237,332.191207529942,387.953255907467,"Pla2g6"
"ENSMUSG00000042641",37.1780775983123,46.721573448653,19.0089975453484,18.1911947577304,21.5047561654695,19.4215737948912,37.3715108471185,32.0093445468207,"Rgsl1"
"ENSMUSG00000042642",515.329464487718,513.937307935183,573.890687797662,578.075744523432,559.123660302206,608.542645573258,560.572662706777,510.869138967259,"Flad1"
"ENSMUSG00000042644",78.4870527075482,134.875485615923,57.9321829953476,113.189656270322,131.961003742654,90.6340110428256,81.3868458448358,108.83177145919,"Itpr3"
"ENSMUSG00000042647",54.7343920197375,58.181582030398,57.0269926360453,75.7966448238766,80.1540911622044,73.3703898918112,67.2687195248133,70.4205580030056,"Acad12"
"ENSMUSG00000042650",1126.70229610441,1238.56246595014,1042.77929391626,1003.54757746813,790.788533539309,893.392394564995,1053.04612786992,1011.49528767953,"Alkbh5"
"ENSMUSG00000042655",16.5235900436944,7.05231297338158,9.95709395232537,9.0955973788652,14.6623337491837,8.6318105755072,9.96573622589827,11.5233640368555,"Shisal2b"
"ENSMUSG00000042659",105.337886528551,121.652398790832,139.399315332555,89.945351857667,130.983514826041,118.687395413224,115.436444616655,135.71962087852,"Arrdc4"
"ENSMUSG00000042660",179.694041725176,186.004754672939,197.331498327903,181.911947577304,254.147118319185,223.348098641249,191.840422348542,217.663542918381,"Wdr55"
"ENSMUSG00000042662",477.118662511674,394.047987387696,334.015242582551,353.717675844758,490.699436139349,432.669505097298,399.459927054755,399.476619944323,"Dusp15"
"ENSMUSG00000042670",304.653691430615,327.932553262243,348.498288331388,414.354991703859,307.909008732858,293.481559567245,321.394993285219,385.392508343721,"Immp1l"
"ENSMUSG00000042671",2030.33612661894,2031.0661363339,1706.28382728485,3406.80652935051,2955.92648383544,1700.46668337492,1627.73691689672,1763.07469763889,"Rgs8"
"ENSMUSG00000042672",150.777759148711,123.415477034178,101.381320241858,147.550801923813,98.7263805778371,168.32030622239,95.5049721648584,138.280368442266,"Dcst1"
"ENSMUSG00000042675",2237.91372654285,2127.15390059622,2395.1336907139,2653.89319076667,3946.12275636365,3172.1903864989,2621.81910543007,2485.20551061516,"Ypel3"
"ENSMUSG00000042677",18.5890387991561,15.8677041901086,6.33633251511614,27.2867921365956,18.5722894156327,22.6585027607064,17.440038395322,24.3271018555837,"Zc3h12a"
"ENSMUSG00000042680",276.77013323188,382.587978805951,360.265763002318,300.154713502551,123.163603493143,240.611719792263,286.514916494575,349.542042451282,"Garem1"
"ENSMUSG00000042682",2030.33612661894,2108.64157904109,2291.94198975344,2316.34546581767,2073.25399213458,2403.95924527876,2148.4466346999,2293.14944333424,"Selenok"
"ENSMUSG00000042684",69.1925333079701,66.1154341254523,44.354327605813,47.499230756296,56.6943571635104,59.343697706612,62.2858514118642,70.4205580030056,"Npl"
"ENSMUSG00000042686",335.635422762542,274.158666840209,313.195864318598,292.069738054671,197.452761155674,296.71848853306,314.75116913462,288.084100921386,"Jph1"
"ENSMUSG00000042688",953.204600645618,955.588407893204,894.328074990678,852.964909751358,491.676925055961,727.230040986482,757.395953168268,946.19622480402,"Mapk6"
"ENSMUSG00000042694",163.170451681482,118.126242304141,159.313503237206,222.336824816705,209.182628155021,181.268022085651,145.33365329435,125.476630623537,"Stn1"
"ENSMUSG00000042699",1484.0249307993,1502.14266333028,1320.67273422206,1202.64009787218,1006.81358411062,1249.45458080467,1401.84689577636,1480.11209184499,"Dhx9"
"ENSMUSG00000042700",4926.09528177638,5805.81665533639,4636.38502034641,5300.71202801644,3175.86149007319,4198.29686866231,5020.23962379625,5022.90634628711,"Sipa1l1"
"ENSMUSG00000042705",356.289910317159,370.246431102533,382.895521984875,297.122847709596,276.629363401266,377.64171267844,357.105548094688,358.504658924392,"Commd10"
"ENSMUSG00000042707",42.3416994869668,33.4984866235625,32.586852934883,35.3717675844758,45.9419790807757,41.0011002336592,29.0667306588699,32.0093445468207,"Dnali1"
"ENSMUSG00000042708",34.0799044651196,43.1954169619622,16.2934264674415,38.4036333774308,35.1896009980409,39.9221239117208,19.9314724517965,53.7756988386588,"Shcbp1l"
"ENSMUSG00000042709",346.995390917581,342.918718330679,336.730813660458,356.749541637713,415.432789560205,398.14226279527,414.408531393603,357.224285142519,"Atpaf2"
"ENSMUSG00000042712",1327.0508253842,1235.91784858512,1393.08796296625,1326.94659538333,1846.47656348054,1397.27433691023,1285.57997314088,1257.32705379912,"Tceal9"
"ENSMUSG00000042719",526.689432642758,625.011237265943,485.182032586036,495.204746182661,318.661386815593,412.168954980469,499.947767332563,576.168201842773,"Naa25"
"ENSMUSG00000042724",377.977122249508,357.023344277443,331.299671504644,344.622078465892,213.09258382147,307.508251752444,377.867498565309,367.467275397502,"Map3k9"
"ENSMUSG00000042726",1316.72358160689,1365.50409947101,1288.08588128718,1349.180277865,1705.71815948837,1409.14307645155,1491.53852180944,1309.8223788559,"Trafd1"
"ENSMUSG00000042729",501.904047577216,524.515777395255,603.761969654638,603.341292798058,734.094176375798,660.333509026301,585.487003271523,556.962595114681,"Wdr74"
"ENSMUSG00000042734",935.648286224193,879.776043429352,848.163366666261,827.699361476733,625.592906631839,899.866252496626,846.257101182528,1058.86911760883,"Ttc9"
"ENSMUSG00000042737",150.777759148711,136.638563859268,140.304505691857,183.933191439274,299.111608483348,222.26912231931,164.434647727321,138.280368442266,"Dpm3"
"ENSMUSG00000042742",366.617154094468,558.89580314049,457.121131447664,435.578052254544,307.909008732858,354.983209917734,384.511322715908,490.383158457293,"Bmt2"
"ENSMUSG00000042743",1759.76233965345,1639.66276631122,1790.46653069996,1528.06035964935,1009.74605086045,1632.4911750928,2032.17971206442,2286.74757442487,"Sgtb"
"ENSMUSG00000042744",3945.00712293203,4102.68307226473,3402.61056061737,3761.53482712625,2608.91791843809,3406.32824835953,3466.41525057495,3844.9624669641,"Hectd4"
"ENSMUSG00000042745",184.857663613831,171.018589604503,149.35640928488,158.667643164648,293.246674983674,200.689595880542,211.771894800338,163.887844079722,"Id1"
"ENSMUSG00000042747",403.795231692781,360.549500764133,477.035319352315,603.341292798058,685.219730545186,575.094379593167,435.170481864224,427.644843145525,"Krtcap2"
"ENSMUSG00000042750",4347.76963024708,3776.51359724584,4233.57531045688,4194.08101358784,7228.53053834758,5405.67137291138,4159.03391827488,3848.80358830972,"Bex2"
"ENSMUSG00000042751",2349.44795933779,2262.91092533381,2453.06587370925,2343.63225795427,2364.54568928503,2447.11829815629,2377.65856789556,2542.82233079944,"Nmnat2"
"ENSMUSG00000042757",371.780775983123,364.957196372497,322.247767911621,430.524942599619,468.217191057267,331.245730835089,352.953158000564,364.906527833756,"Tmem108"
"ENSMUSG00000042759",24.7853850655415,6.17077385170888,28.9660914976738,39.4142553084159,26.3922007485307,17.2636211510144,13.2876483011977,8.9626164731098,"Apobr"
"ENSMUSG00000042761",184.857663613831,208.924771836429,197.331498327903,197.071276542079,204.29518357196,214.716288065742,157.790823576723,165.168217861595,"Mrap2"
